Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
Golden LLC,RED BULL SUGARFREE SUMMER EDITION ENERGY DRINK - 8.4 OZ,BEVERAGE : STANDARD,36,1.52,3.29,118.44,53.77,63.69
Golden LLC,RED BULL WILD BERRIES S/FREE 8 OZ,BEVERAGE : STANDARD,36,1.52,3.29,118.44,53.77,63.69
Golden LLC,VITAMIN WATER ZERO XXX 20 OZ,BEVERAGE : STANDARD,36,1.45,2.79,100.44,47.91,48.12
Golden LLC,BUCKED UP ENERGY WHITE GUMMY 16 OZ,BEVERAGE : STANDARD,36,1.88,3.79,136.44,50.53,68.94
Golden LLC,REIGN STORM GUAVA STRAWBERRY 12 OZ,BEVERAGE : STANDARD,36,1.46,2.99,107.64,51.23,55.14
Golden LLC,LIQUID DEATH TEAS REST IN PEACH 19.2 OZ,BEVERAGE : STANDARD,36,1.80,3.99,143.64,54.95,78.93
CEDAR   LLC,STRBK DOUBLESHOT ENERGY MOCHA 15 OZ,BEVERAGE : STANDARD,35,2.83,4.49,157.15,36.90,57.98
CEDAR   LLC,MT RANCH,FRITO LAYS,35,2.94,3.99,139.65,26.32,36.75
CEDAR   LLC,CT SM WCH,FRITO LAYS,35,1.88,2.69,94.15,30.11,28.35
CEDAR   LLC,BON APPETIT BEAR CLAW 5OZ,BAKERY & PASTRY,35,1.87,3.19,111.65,41.42,46.25
CEDAR   LLC,PUSH POPS TRIPLE POWER,CANDY : BARS,35,1.83,4.09,143.15,55.26,79.10
CEDAR   LLC,GATORADE LEMON LIME 20 OZ,BEVERAGE : STANDARD,35,0.67,2.99,104.65,77.49,81.10
CEDAR   LLC,MONSTER KILLER BREW MEAN BEAN 15 OZ,BEVERAGE : STANDARD,35,2.19,3.79,132.65,42.22,56.00
CEDAR   LLC,HOT TAMALES 4.25OZ PDQ,CANDY : BOX & PEG,35,0.97,2.49,87.15,60.88,53.06
CEDAR   LLC,RED BULL AMBER EDITION STRAWBERRY APRICOT 12 OZ,BEVERAGE : STANDARD,35,2.19,3.99,139.65,45.23,63.16
CEDAR   LLC,WERNER TERIYAKI GIANT BEEF SLAB,LOCAL PRODCTS,35,2.00,3.29,115.15,39.21,45.15
CEDAR   LLC,BODY ARMOR TROPICAL PSNFRUIT 28 OZ,BEVERAGE : STANDARD,35,1.75,3.49,120.85,49.86,60.90
CEDAR   LLC,CORE POWER PROTEIN MILK SHAKE 14 OZ,BEVERAGE : STANDARD,35,2.60,4.69,164.15,44.47,73.01
CEDAR   LLC,JUUL PODS MENTHOL 5% 2.8M,VAPE : PRIMARY,35,22.32,29.19,"1,021.65",23.53,240.41
CEDAR   LLC,NO MAN'S MEAT STICK MILD,JERKY,35,1.01,1.89,66.15,46.58,30.82
CEDAR   LLC,ON NICOTINE POUCHES 8MG C,POUCH,35,5.30,6.79,235.65,21.97,52.22
WHEAT   LLC,MARLBORO GOLD PACK 100 BO,CIGARETTES,35,9.92,11.39,380.62,12.94,51.59
WHEAT   LLC,GATORADE COOL BLUE/FRT PUNCH 28 OZ,BEVERAGE : STANDARD,35,1.99,3.39,118.65,41.30,49.00
WHEAT   LLC,GATORADE ORANGE 28 OZ,BEVERAGE : STANDARD,35,1.99,3.39,121.05,41.30,49.00
WHEAT   LLC,ZYN COFFEE 3MG,POUCH,35,6.65,8.99,314.65,26.03,81.90
WHEAT   LLC,RED BULL YELLOW 12 OZ,BEVERAGE : STANDARD,35,2.06,3.99,139.65,48.36,67.54
WHEAT   LLC,ON NICOTINE POUCHES 8MG M,POUCH,35,5.30,6.79,235.65,21.97,52.22
HAWK   LLC,KINDER JOY VARIETY PK 15C,CANDY : BARS,35,1.78,4.19,135.85,57.57,84.42
HAWK   LLC,MDEW CODE RED 20 OZ,BEVERAGE : STANDARD,35,1.61,3.09,108.15,47.88,51.79
HAWK   LLC,DOLE OCEAN SPRAY APPLE JUICE 15.2 OZ,BEVERAGE : STANDARD,35,1.94,3.09,108.15,37.30,40.34
HAWK   LLC,STARBUCK FRAPPUCCINO OATMILK 13.7 OZ,BEVERAGE : STANDARD,35,2.83,4.49,158.95,36.90,57.98
HAWK   LLC,CAMEL WIDE CLASSIC FILTER,CIGARETTES,35,11.27,12.99,454.65,13.21,60.06
HAWK   LLC,MEADOW GOLD 2%  1/2 GAL,REFRIGERATED,35,2.77,4.99,174.05,44.49,77.70
HAWK   LLC,MARLBORO SPEC SELECT GOLD,CIGARETTES,35,9.92,11.29,392.19,12.17,48.09
HAWK   LLC,MT RF CSC ,FRITO LAYS,35,4.41,5.99,209.65,26.38,55.30
HAWK   LLC,RF QUE ,FRITO LAYS,35,1.88,2.69,94.15,30.11,28.35
HAWK   LLC,PRINGLES BBQ 5.57OZ,SALTY SNACKS,35,2.42,5.09,178.15,52.46,93.45
HAWK   LLC,SNICKERS ALMOND KING 2 PI,CANDY : BARS,35,1.92,3.39,118.65,43.29,51.36
HAWK   LLC,DEX ARTISAN SMKD TURK&CHE,REFRIGERATED,35,4.07,6.69,234.15,39.18,91.75
HAWK   LLC,SPRITE CAN 16 OZ,BEVERAGE : STANDARD,35,1.19,2.49,85.85,52.26,45.55
HAWK   LLC,CAMP V8 SPICY 12/OZ,BEVERAGE : STANDARD,35,1.45,3.39,118.65,57.37,68.08
HAWK   LLC,PIZZA PEPP/SAUSAGE 12IN T,FROZEN,35,5.59,10.99,384.65,49.14,189.00
HAWK   LLC,"$1,000,000 GOLD RUSH",LOTTERY,35,20.00,20.00,700.00,0.00,0.00
HAWK   LLC,LOTERIA,LOTTERY,35,3.00,3.00,105.00,0.00,0.00
HAWK   LLC,"$3 monopoly $30,000!",LOTTERY,35,3.00,3.00,105.00,0.00,0.00
HAWK   LLC,Fairlife Yup! Milk Very Strawberry 14 OZ,BEVERAGE : STANDARD,35,1.74,2.99,104.65,41.83,43.78
HAWK   LLC,ROCKSTAR RECOVERY ORANGE FLAVOUR 16 OZ,BEVERAGE : STANDARD,35,1.63,3.29,115.95,50.48,58.13
HAWK   LLC,NO MAN'S JERKY MILD BEEF,JERKY,35,7.27,13.79,482.65,47.30,228.29
